file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,147,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,148,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,3
style.css,149,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,21
style.css,150,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,16
style.css,151,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,152,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,153,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,6
style.css,154,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,20
style.css,155,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,16
style.css,156,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,157,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,158,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,159,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,10
style.css,160,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,17
style.css,161,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,26
style.css,162,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,18
style.css,163,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,20
style.css,164,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,165,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,0
style.css,166,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,9
style.css,167,css,441dfa60,arshia-vadhani,2025-02-14,18:24:49,-08:00,2025-02-14T18:24:49-08:00,0,18
